Ticker,Date,Type,Shares,Price
NFLX,2024-06-03,Buy,1.576,637.309
AVGO,2024-06-10,Buy,7,142.89
SHOP,2024-06-17,Buy,15.387,65.01
MELI,2024-06-24,Buy,0.622,1606.51
V,2024-07-01,Buy,3.84,261.5152
LRCX,2024-07-09,Buy,0.915,1092.815
AAPL,2024-07-15,Buy,4.243,235.69
ASML,2024-07-17,Buy,1.046,955.93
AMZN,2024-07-22,Buy,5.437,183.93
TSM,2024-07-30,Buy,6.456,154.9075
ELF,2024-08-05,Buy,5.826,172.415
KNSL,2024-08-12,Buy,2.136,468.86
KNSL,2024-08-19,Buy,2.065,484.26
CRWD,2024-08-26,Buy,3.717,269.12
U,2024-09-10,Buy,60.288,16.66
CMG,2024-09-16,Buy,17.409,57.44
WING,2024-09-23,Buy,2.357,425.11
U,2024-09-30,Buy,44.008,22.74
ENPH,2024-10-07,Buy,9.496,105.7115
NVDA,2024-10-15,Buy,7.227,138.37
DASH,2024-10-21,Buy,6.602,151.5
KNSL,2024-10-28,Buy,2.269,439
TSLA,2024-11-04,Buy,4.081,246.12
EME,2024-11-11,Buy,1.924,522.135
WING,2024-11-18,Buy,3.845,325.4985
TOST,2024-11-26,Buy,2.299,43.49
EME,2024-11-26,Buy,1.929,518.06
BROS,2024-12-02,Buy,1.825,54.76
MELI,2024-12-02,Buy,0.517,1933.5
ABNB,2024-12-02,Buy,7.419,135.92
RDDT,2024-12-10,Buy,0.621,161.01
V,2024-12-16,Buy,3.16,316.92
IONQ,2024-12-16,Buy,2.782,36.71
HOOD,2024-12-23,Buy,2.66,37.61
CRWD,2024-12-23,Buy,2.776,360.1092
HIMS,2024-12-27,Buy,3.701,27.03
DASH,2024-12-30,Buy,5.89,169.73
AXP,2025-01-06,Buy,0.329,303.54
KD,2025-01-06,Buy,25.796,39.02
ASML,2025-01-14,Buy,1.381,728.89
RELY,2025-01-16,Buy,4.333,23.2
HWM,2025-01-22,Buy,7.904,126.52
DOCU,2025-01-22,Buy,1.093,91.56
KD,2025-01-27,Buy,26.473,37.75
BROS,2025-01-28,Buy,1.671,59.9199
HWM,2025-02-03,Buy,7.927,126.62
HWM,2025-02-10,Buy,7.896,126.8
BROS,2025-02-11,Buy,1.533,65.2299
UBER,2025-02-18,Buy,1.235,80.945
WING,2025-02-18,Buy,3.244,309.26
SPOT,2025-02-28,Buy,1.694,592.7305
ABNB,2025-02-28,Buy,0.72,139.27
GEHC,2025-03-06,Buy,11.883,84.96
TOST,2025-03-07,Buy,3.046,32.81
APP,2025-03-11,Buy,0.408,244.9999
KD,2025-03-11,Buy,29.434,33.975
DOCU,2025-03-17,Buy,1.177,84.96
MSFT,2025-03-18,Buy,2.566,390.125
RDDT,2025-03-24,Buy,0.803,124.04
